complex_name,protein_path,ligand_description,protein_sequence
CC(C)(C)OC(=O)N1CCC(C2(CN)CCOCC2)CC1,GLP1.pdb,CC(C)(C)OC(=O)N1CCC(C2(CN)CCOCC2)CC1,
COC(=O)C1CC2(CCCC(CN)O2)C1,GLP1.pdb,COC(=O)C1CC2(CCCC(CN)O2)C1,
NC(CN1CCCC1=O)c1ccccc1,GLP1.pdb,NC(CN1CCCC1=O)c1ccccc1,
CC(C)(C)OC1CC(N)C12CCOCC2,GLP1.pdb,CC(C)(C)OC1CC(N)C12CCOCC2,
CC(CCN)P(C)(C)=O,GLP1.pdb,CC(CCN)P(C)(C)=O,
NCc1cccc(NC(=O)c2ccc(F)cc2)c1,GLP1.pdb,NCc1cccc(NC(=O)c2ccc(F)cc2)c1,
Cc1cnc(CN)cn1,GLP1.pdb,Cc1cnc(CN)cn1,
COc1cccc(C(C)(C)CN)c1,GLP1.pdb,COc1cccc(C(C)(C)CN)c1,
CN(C)S(=O)(=O)c1ccc(CCN)cc1,GLP1.pdb,CN(C)S(=O)(=O)c1ccc(CCN)cc1,
NCc1ccn(-c2ccc(Cl)cc2)n1,GLP1.pdb,NCc1ccn(-c2ccc(Cl)cc2)n1,
NCC(F)C1CCCCC1,GLP1.pdb,NCC(F)C1CCCCC1,
Cc1ccc(C(N)CCc2ccccc2)cc1F,GLP1.pdb,Cc1ccc(C(N)CCc2ccccc2)cc1F,
CCO[C@@H]1CCCCC[C@H]1N,GLP1.pdb,CCO[C@@H]1CCCCC[C@H]1N,
NCc1nc(Cl)ccc1Br,GLP1.pdb,NCc1nc(Cl)ccc1Br,
NC1CCN(C(=O)C2CC2)CC1,GLP1.pdb,NC1CCN(C(=O)C2CC2)CC1,
Cc1cccc(OCCCN)c1,GLP1.pdb,Cc1cccc(OCCCN)c1,
C[C@H](N)c1ccc(C(C)(C)C)cc1,GLP1.pdb,C[C@H](N)c1ccc(C(C)(C)C)cc1,
