complex_name,protein_path,ligand_description,protein_sequence
COc1cccc(C2(C)NC(=O)N(N)C2=O)c1,GLP1.pdb,COc1cccc(C2(C)NC(=O)N(N)C2=O)c1,
N#Cc1ccccc1S(=O)(=O)N1CCNCC1,GLP1.pdb,N#Cc1ccccc1S(=O)(=O)N1CCNCC1,
O=S(=O)(Cl)c1ccccc1Br,GLP1.pdb,O=S(=O)(Cl)c1ccccc1Br,
CCN(CC)C(=C(C#N)C(=O)CCl)c1ccc(F)cc1,GLP1.pdb,CCN(CC)C(=C(C#N)C(=O)CCl)c1ccc(F)cc1,
CCCNCC1COc2ccccc2O1,GLP1.pdb,CCCNCC1COc2ccccc2O1,
CC(C)(C)NCC(=O)Nc1ccc(F)cc1,GLP1.pdb,CC(C)(C)NCC(=O)Nc1ccc(F)cc1,
SCc1cccc(Br)c1,GLP1.pdb,SCc1cccc(Br)c1,
N#Cc1ccc(S(=O)(=O)NCC(=O)O)cc1,GLP1.pdb,N#Cc1ccc(S(=O)(=O)NCC(=O)O)cc1,
Cc1ccccc1CBr,GLP1.pdb,Cc1ccccc1CBr,
Cc1noc(C)c1CSCC(=O)O,GLP1.pdb,Cc1noc(C)c1CSCC(=O)O,
O=C(O)CSc1nnc(-c2ccccc2Br)n1-c1cccc(C(F)(F)F)c1,GLP1.pdb,O=C(O)CSc1nnc(-c2ccccc2Br)n1-c1cccc(C(F)(F)F)c1,
O=C(O)CCCNC1=NS(=O)(=O)c2ccccc21,GLP1.pdb,O=C(O)CCCNC1=NS(=O)(=O)c2ccccc21,
O=[N+]([O-])c1cc2c(cc1Br)OCCO2,GLP1.pdb,O=[N+]([O-])c1cc2c(cc1Br)OCCO2,
CCN(CC)S(=O)(=O)c1ccc(N2CCNCC2)c([N+](=O)[O-])c1,GLP1.pdb,CCN(CC)S(=O)(=O)c1ccc(N2CCNCC2)c([N+](=O)[O-])c1,
NCC(c1ccc(Cl)cc1Cl)c1c[nH]c2ccccc12,GLP1.pdb,NCC(c1ccc(Cl)cc1Cl)c1c[nH]c2ccccc12,
O=C(O)c1ccc(S(=O)(=O)C(F)F)cc1,GLP1.pdb,O=C(O)c1ccc(S(=O)(=O)C(F)F)cc1,
CCc1cc2c(CCl)cc(=O)oc2cc1O,GLP1.pdb,CCc1cc2c(CCl)cc(=O)oc2cc1O,
Cc1cc(C(=O)O)no1,GLP1.pdb,Cc1cc(C(=O)O)no1,
Cc1nc(S)c2c(C)c(C)sc2n1,GLP1.pdb,Cc1nc(S)c2c(C)c(C)sc2n1,
O=[N+]([O-])c1cc(S(=O)(=O)NCCN2CCOCC2)ccc1Cl,GLP1.pdb,O=[N+]([O-])c1cc(S(=O)(=O)NCCN2CCOCC2)ccc1Cl,
O=C(O)c1ccccc1Sc1ccc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-],GLP1.pdb,O=C(O)c1ccccc1Sc1ccc(S(=O)(=O)N2CCCC2)cc1[N+](=O)[O-],
NC(=O)CCS(=O)(=O)CCCl,GLP1.pdb,NC(=O)CCS(=O)(=O)CCCl,
COc1cc(C(=O)O)cc(Cl)c1OC,GLP1.pdb,COc1cc(C(=O)O)cc(Cl)c1OC,
Nc1cc(-c2ccccc2)nn1CCO,GLP1.pdb,Nc1cc(-c2ccccc2)nn1CCO,
CCC(C)NCC(=O)Nc1ccccc1C(F)(F)F,GLP1.pdb,CCC(C)NCC(=O)Nc1ccccc1C(F)(F)F,
O=C(O)CSCc1ccc(Cl)c(Cl)c1,GLP1.pdb,O=C(O)CSCc1ccc(Cl)c(Cl)c1,
O=C(O)CSCc1ccc(F)cc1,GLP1.pdb,O=C(O)CSCc1ccc(F)cc1,
N#Cc1cccc(S(=O)(=O)NCC(=O)O)c1,GLP1.pdb,N#Cc1cccc(S(=O)(=O)NCC(=O)O)c1,
CC(C)Oc1ccc(-c2nn(-c3ccccc3)cc2C=O)cc1,GLP1.pdb,CC(C)Oc1ccc(-c2nn(-c3ccccc3)cc2C=O)cc1,
Cc1cccc(CSCC(=O)O)c1,GLP1.pdb,Cc1cccc(CSCC(=O)O)c1,
