ligand_description,complex_name,protein_path,protein_sequence
O=C(COc1cccc2ccccc12)N/N=C/c1ccccc1OCc1ccc(C(=O)O)cc1,CHEMBL3192110,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCc1cc(=O)oc2c3c(cc(OCC(=O)NCCCOC)c12)OC(C)(C)CC3,CHEMBL1512002,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(C(=O)Nc2cc(C)nn2CCC#N)cc1,CHEMBL1719900,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccnc2nc(C(=O)NCc3ccccc3)nn12,CHEMBL1877486,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1,CHEMBL1409740,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1ccc(N2CCOCC2)c(S(=O)(=O)Nc2ccccc2Cl)c1)c1ccc(F)cc1,CHEMBL1729326,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1nc(N2CCCCC2C)c2c(C)c(C(=O)Nc3cccc(C(F)(F)F)c3)sc2n1,CHEMBL1449434,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1nnc(SCC(=O)Nc2ccc(O)cc2)c2ccccc12,CHEMBL1505093,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
NS(=O)(=O)c1ccc(CNC(=O)c2ccc(NS(=O)(=O)c3cccs3)cc2)cc1,CHEMBL1701506,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCCCOC(=O)c1ccc(NC(=O)Cc2coc3ccc(C(C)C)cc23)cc1,CHEMBL1487846,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COC(=O)c1cc(NC(=O)CC2S/C(=N/c3ccccc3)N(CCc3c[nH]c4ccccc34)C2=O)cc(C(=O)OC)c1,CHEMBL3193458,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(CCc1nc2ccccc2[nH]1)Nc1ccc(F)cc1,CHEMBL1369430,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CN(Cc1cccc2ccccc12)C(=O)c1cc(COc2c(F)cccc2F)on1,CHEMBL1596731,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(CC1CC2CCC1C2)OCC(=O)c1c[nH]c2ccccc12,CHEMBL1462265,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
